Name,name_link,Contract,Txn,txn_link,startBlock
Tether USD (USDT),https://arbiscan.io/token/0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0xf4f2c7b536c74d9fc9e752b1ad3c5763fdcd9a2b8a41863ba1297caad2dd4642,https://arbiscan.io/tx/0xf4f2c7b536c74d9fc9e752b1ad3c5763fdcd9a2b8a41863ba1297caad2dd4642,228105
USD Coin (Arb1) (USDC),https://arbiscan.io/token/0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xc91512bf8dbc57cf46a192b5d257d52be5859583515104cfadb1dbc431408fc6,https://arbiscan.io/tx/0xc91512bf8dbc57cf46a192b5d257d52be5859583515104cfadb1dbc431408fc6,2609
ChainLink Token (LINK),https://arbiscan.io/token/0xf97f4df75117a78c1a5a0dbb814af92458539fb4,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,,,0
Uniswap (UNI),https://arbiscan.io/token/0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,,,0
Wrapped BTC (WBTC),https://arbiscan.io/token/0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,,,0
Graph Token (GRT),https://arbiscan.io/token/0x23a941036ae778ac51ab04cea08ed6e2fe103614,0x23a941036ae778ac51ab04cea08ed6e2fe103614,,,0
Compound (COMP),https://arbiscan.io/token/0x354a6da3fcde098f8389cad84b0182725c6c91de,0x354a6da3fcde098f8389cad84b0182725c6c91de,,,0
SushiToken (SUSHI),https://arbiscan.io/token/0xd4d42f0b6def4ce0383636770ef773390d85c61a,0xd4d42f0b6def4ce0383636770ef773390d85c61a,,,0
yearn.finance (YFI),https://arbiscan.io/token/0x82e3a8f066a6989666b031d916c43672085b1582,0x82e3a8f066a6989666b031d916c43672085b1582,,,0
Curve DAO Token (CRV),https://arbiscan.io/token/0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,,,0
Gnosis Token (GNO),https://arbiscan.io/token/0xa0b862f60edef4452f25b4160f177db44deb6cf1,0xa0b862f60edef4452f25b4160f177db44deb6cf1,,,0
CelerToken (CELR),https://arbiscan.io/token/0x3a8b787f78d775aecfeea15706d4221b40f345ab,0x3a8b787f78d775aecfeea15706d4221b40f345ab,,,0
Balancer (BAL),https://arbiscan.io/token/0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,,,0
Synth sUSD (sUSD),https://arbiscan.io/token/0xa970af1a584579b618be4d69ad6f73459d112f95,0xa970af1a584579b618be4d69ad6f73459d112f95,,,0
DODO bird (DODO),https://arbiscan.io/token/0x69eb4fa4a2fbd498c257c57ea8b7655a2559a581,0x69eb4fa4a2fbd498c257c57ea8b7655a2559a581,,,0
MATH Token (MATH),https://arbiscan.io/token/0x99f40b01ba9c469193b360f72740e416b17ac332,0x99f40b01ba9c469193b360f72740e416b17ac332,,,0
Badger (BADGER),https://arbiscan.io/token/0xbfa641051ba0a0ad1b0acf549a89536a0d76472e,0xbfa641051ba0a0ad1b0acf549a89536a0d76472e,,,0
Rari Governance Token (RGT),https://arbiscan.io/token/0xef888bca6ab6b1d26dbec977c455388ecd794794,0xef888bca6ab6b1d26dbec977c455388ecd794794,,,0
Cream (CREAM),https://arbiscan.io/token/0xf4d48ce3ee1ac3651998971541badbb9a14d7234,0xf4d48ce3ee1ac3651998971541badbb9a14d7234,,,0
Stake DAO Token (SDT),https://arbiscan.io/token/0x7ba4a00d54a07461d9db2aef539e91409943adc9,0x7ba4a00d54a07461d9db2aef539e91409943adc9,,,0
Cap (CAP),https://arbiscan.io/token/0x031d35296154279dc1984dcd93e392b1f946737b,0x031d35296154279dc1984dcd93e392b1f946737b,,,0
Fuse Token (FUSE),https://arbiscan.io/token/0xbdef0e9ef12e689f366fe494a7a7d0dad25d9286,0xbdef0e9ef12e689f366fe494a7a7d0dad25d9286,,,0
Alchemy (ALCH),https://arbiscan.io/token/0x0e15258734300290a651fdbae8deb039a8e7a2fa,0x0e15258734300290a651fdbae8deb039a8e7a2fa,,,0
