Token,Token链接,Contract,字段2_link,name,txn,txn_link,Status,startBlock
"Binance-Peg Ethereum Token (ETH)Ethereum is a global, open-source platform for decentralized applications. Eth is fueling transactions on the Chain.Cross-Chain",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x2170ed0880ac9a755fd29b2688956bd959f933f8,https://bscscan.com/address/0x2170ed0880ac9a755fd29b2688956bd959f933f8,Ethereum: ETH Token,0x2f3cd1b65f0db3e42ab566ac3bcfbbf2281a0ddff652b7291dde662f777cc2c2,https://bscscan.com/tx/0x2f3cd1b65f0db3e42ab566ac3bcfbbf2281a0ddff652b7291dde662f777cc2c2,Success,326031
Binance-Peg Cardano Token (ADA)Cardano (ADA) is a decentralized platform that will allow complex programmable transfers of value in a secure and scalable fashion. Cardano is built in the secure Haskell programming language.Cross-Chain,https://bscscan.com/token/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,https://bscscan.com/address/0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,Cardano: ADA Token,0xde315b3dd345c394abe3db496a25081894ab90aa085cc26197f34855f07faadb,https://bscscan.com/tx/0xde315b3dd345c394abe3db496a25081894ab90aa085cc26197f34855f07faadb,Success,323894
"Wrapped BNB (WBNB)As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more.",https://bscscan.com/token/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,https://bscscan.com/address/0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Binance: WBNB Token,0x255d839f68eab998b7d784ed654600614718d32772414055d7254038d6fd25a3,https://bscscan.com/tx/0x255d839f68eab998b7d784ed654600614718d32772414055d7254038d6fd25a3,Success,149268
Binance-Peg BSC-USD (BSC-USD)A pegged token by Binance which gives you the joint benefits of open blockchain technology and traditional currency by converting your cash into a stable digital currency equivalent.Cross-Chain,https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,0x55d398326f99059ff775485246999027b3197955,https://bscscan.com/address/0x55d398326f99059ff775485246999027b3197955,BUSD-T Stablecoin,0x05ec6203d7d0d8794449e4d8393c4e3cc397f2477839248e16db25469e37721d,https://bscscan.com/tx/0x05ec6203d7d0d8794449e4d8393c4e3cc397f2477839248e16db25469e37721d,Success,176416
"Binance-Peg XRP Token (XRP)XRP is a digital asset built for payments. It is the native digital asset on the XRP Ledger—an open-source, permissionless and decentralized blockchain technology that can settle transactions in 3-5 seconds.Cross-Chain",https://bscscan.com/token/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,https://bscscan.com/address/0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,Ripple: XRP Token,0xebc373820dd6810a3f16437cdc46858c5b4fd6aff25ef59761dfb021c4dde361,https://bscscan.com/tx/0xebc373820dd6810a3f16437cdc46858c5b4fd6aff25ef59761dfb021c4dde361,Success,326495
"Dogecoin (DOGE)Dogecoin (DOGE) is based on the popular ""doge"" Internet meme and features a Shiba Inu on its logo. Dogecoin's creators envisaged it as a fun, light-hearted cryptocurrency. that would have greater appeal beyond the core Bitcoin audience, since it was based on a dog meme.Cross-Chain",https://bscscan.com/token/0xba2ae424d960c26247dd6c32edc70b295c744c43,0xba2ae424d960c26247dd6c32edc70b295c744c43,https://bscscan.com/address/0xba2ae424d960c26247dd6c32edc70b295c744c43,Dogecoin: Dogecoin Token,0x15f2fd1cd8556976f8f1065bbee20e6d8d43d8c005e25a5a59fde6c44c6635b5,https://bscscan.com/tx/0x15f2fd1cd8556976f8f1065bbee20e6d8d43d8c005e25a5a59fde6c44c6635b5,Success,4502374
"Binance-Peg Polkadot Token (DOT)Polkadot is a blockchain project that aims to connect blockchains, to enable the transfer of value and logic across chains. DOT is the native coin of the network.Cross-Chain",https://bscscan.com/token/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,https://bscscan.com/address/0x7083609fce4d1d8dc0c979aab8c869ea2c873402,Polkadot: DOT Token,0x4cca70e6a5ac66b5f4ce0fb4b686bdadcce0f6d6bae4b175eec33bf799d45a68,https://bscscan.com/tx/0x4cca70e6a5ac66b5f4ce0fb4b686bdadcce0f6d6bae4b175eec33bf799d45a68,Success,325172
Binance-Peg USD Coin (USDC)USD Coin (known by its ticker USDC) is a stablecoin that is pegged to the U.S. dollar on a 1:1 basis.Cross-Chain,https://bscscan.com/token/0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,https://bscscan.com/address/0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USD Coin: USDC Token,0xe87d240407fb4c788f0674a0fe7a3646c53d90d5f8cfb518aa9584bd073ae441,https://bscscan.com/tx/0xe87d240407fb4c788f0674a0fe7a3646c53d90d5f8cfb518aa9584bd073ae441,Success,1477489
Binance-Peg Uniswap (UNI)Uniswap is an automated liquidity protocol powered by a constant product formula and implemented in a system of non-upgradeable smart contracts on the Ethereum blockchain.Cross-Chain,https://bscscan.com/token/0xbf5140a22578168fd562dccf235e5d43a02ce9b1,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,https://bscscan.com/address/0xbf5140a22578168fd562dccf235e5d43a02ce9b1,Uniswap Protocol: UNI token,0xd8679f03936b8ecd46e856effa80465c1681b34038d3b23378d428fae9ae6cea,https://bscscan.com/tx/0xd8679f03936b8ecd46e856effa80465c1681b34038d3b23378d428fae9ae6cea,Success,1304051
"Binance-Peg ChainLink Token (LINK)A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments.Cross-Chain",https://bscscan.com/token/0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,https://bscscan.com/address/0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,Chainlink : LINK Token,0xb5519dc9333aaed59898de7093946dc22c69f240a40c5625e67c02b12749c85c,https://bscscan.com/tx/0xb5519dc9333aaed59898de7093946dc22c69f240a40c5625e67c02b12749c85c,Success,176452
Binance-Peg Bitcoin Cash Token (BCH)Bitcoin ABC is an electronic cash platform that allows peer-to-peer online cash payments. It is a fork (a copy in a way) of Bitcoin (BTC).Cross-Chain,https://bscscan.com/token/0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,https://bscscan.com/address/0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,Bitcoin Cash: BCH Token,0x47753fa7e15a93c29125689443f838bf4256b64ab1a413a2d25ff134f00a74d4,https://bscscan.com/tx/0x47753fa7e15a93c29125689443f838bf4256b64ab1a413a2d25ff134f00a74d4,Success,324946
"Binance-Peg Litecoin Token (LTC)Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world. Litecoin is an open source, global payment network that is fully decentralized without any central authorities.Cross-Chain",https://bscscan.com/token/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,https://bscscan.com/address/0x4338665cbb7b2485a8855a139b75d5e34ab0db94,Litecoin: LTC Token,0x10836a516e625a33285fbdbe0f08d544459620fb39cc63d5d635f208537ad11b,https://bscscan.com/tx/0x10836a516e625a33285fbdbe0f08d544459620fb39cc63d5d635f208537ad11b,Success,326301
