#,Token,Name,Contract,Announcement,contract_link,Creator,txn,tnx_link,Transaction Hash,Status,startBlock
1,Wrapped Ether (WETH)wETH is "wrapped ETH"Cross-Chain,Token Wrapped Ether,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,,https://polygonscan.com/address/0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x67e0374acc7b605f5a1490aefd23da225fe9bd5513d905989eee271931de946f,0x67e0374acc7b605f5a1490aefd23da225fe9bd5513d905989eee271931de946f,https://polygonscan.com/tx/0x67e0374acc7b605f5a1490aefd23da225fe9bd5513d905989eee271931de946f,0x67e0374acc7b605f5a1490aefd23da225fe9bd5513d905989eee271931de946f,Success,3678215
2,"BNB (BNB)Binance aims to build a world-class crypto exchange, powering the future
of crypto finance.",Token BNB,0x3BA4c387f786bFEE076A58914F5Bd38d668B42c3,Binance Chain Mainnet Swap,https://polygonscan.com/address/0x3BA4c387f786bFEE076A58914F5Bd38d668B42c3,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xc0a310727e31c9b1e5fcf41144b4bf915435fd7c2a46e576caaa3353e5029ea8,0xc0a310727e31c9b1e5fcf41144b4bf915435fd7c2a46e576caaa3353e5029ea8,https://polygonscan.com/tx/0xc0a310727e31c9b1e5fcf41144b4bf915435fd7c2a46e576caaa3353e5029ea8,0xc0a310727e31c9b1e5fcf41144b4bf915435fd7c2a46e576caaa3353e5029ea8,Success,15427667
3,(PoS) Tether USD (USDT)Tether gives you the joint benefits of open blockchain technology and traditional currency by converting your cash into a stable digital currency equivalent.,Token (PoS) Tether USD,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,,https://polygonscan.com/address/0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0xa914744cbbf5b84af4ac19bf0b2cba86d961f52ce06ff65db62d89f450e00671,0xa914744cbbf5b84af4ac19bf0b2cba86d961f52ce06ff65db62d89f450e00671,https://polygonscan.com/tx/0xa914744cbbf5b84af4ac19bf0b2cba86d961f52ce06ff65db62d89f450e00671,0xa914744cbbf5b84af4ac19bf0b2cba86d961f52ce06ff65db62d89f450e00671,Success,4196335
4,USD Coin (PoS) (USDC)USD Coin is an ERC-20 stablecoin brought to you by Circle and Coinbase. It is issued by regulated and licensed financial institutions that maintain full reserves of the equivalent fiat currency.Cross-Chain,Token USD Coin (PoS),0x2791bca1f2de4661ed88a30c99a7a9449aa84174,,https://polygonscan.com/address/0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x51103659d8827d6d24732d1168de73390f4f387d58a8281944241657f1bc61d7,0x51103659d8827d6d24732d1168de73390f4f387d58a8281944241657f1bc61d7,https://polygonscan.com/tx/0x51103659d8827d6d24732d1168de73390f4f387d58a8281944241657f1bc61d7,0x51103659d8827d6d24732d1168de73390f4f387d58a8281944241657f1bc61d7,Success,5013591
5,"Uniswap (PoS) (UNI)The Uniswap protocol empowers developers, liquidity providers and traders to participate in a financial marketplace that is open and accessible to all.",Token Uniswap (PoS),0xb33eaad8d922b1083446dc23f610c2567fb5180f,,https://polygonscan.com/address/0xb33eaad8d922b1083446dc23f610c2567fb5180f,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x9fd6172b173e744d81630306daa41c39bea1e44b0de0ae3c6999fb93bbd3e0ad,0x9fd6172b173e744d81630306daa41c39bea1e44b0de0ae3c6999fb93bbd3e0ad,https://polygonscan.com/tx/0x9fd6172b173e744d81630306daa41c39bea1e44b0de0ae3c6999fb93bbd3e0ad,0x9fd6172b173e744d81630306daa41c39bea1e44b0de0ae3c6999fb93bbd3e0ad,Success,5514730
6,"ChainLink Token (LINK)A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments.",Token ChainLink Token,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,,https://polygonscan.com/address/0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x3ace8da1089bd633dc19ae98723bac91ac537d693642a03a489322c9e64b8935,0x3ace8da1089bd633dc19ae98723bac91ac537d693642a03a489322c9e64b8935,https://polygonscan.com/tx/0x3ace8da1089bd633dc19ae98723bac91ac537d693642a03a489322c9e64b8935,0x3ace8da1089bd633dc19ae98723bac91ac537d693642a03a489322c9e64b8935,Success,3835428
7,"binance-usd (BUSD)Binance USD (BUSD) is a dollar-backed stablecoin issued and custodied by Paxos Trust Company, and regulated by the New York State Department of Financial Services. BUSD is available directly for sale 1:1 with USD on Paxos.com and will be listed for trading on Binance.",Token binance-usd,0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,,https://polygonscan.com/address/0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0xf47ecff8cf0966a80ed608d595d9d3731e4e4d2c12d3eb4e4e0e399da9f74361,0xf47ecff8cf0966a80ed608d595d9d3731e4e4d2c12d3eb4e4e0e399da9f74361,https://polygonscan.com/tx/0xf47ecff8cf0966a80ed608d595d9d3731e4e4d2c12d3eb4e4e0e399da9f74361,0xf47ecff8cf0966a80ed608d595d9d3731e4e4d2c12d3eb4e4e0e399da9f74361,Success,4196345
8,(PoS) Wrapped BTC (WBTC)Wrapped Bitcoin (WBTC) is an ERC20 token backed 1:1 with Bitcoin. Completely transparent. 100% verifiable. Community led.,Token (PoS) Wrapped BTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,,https://polygonscan.com/address/0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x8057d693a2d9de91857e002c5ccd026182e40eb8acb15adee0b84127ef3cf10e,0x8057d693a2d9de91857e002c5ccd026182e40eb8acb15adee0b84127ef3cf10e,https://polygonscan.com/tx/0x8057d693a2d9de91857e002c5ccd026182e40eb8acb15adee0b84127ef3cf10e,0x8057d693a2d9de91857e002c5ccd026182e40eb8acb15adee0b84127ef3cf10e,Success,4196820
9,Theta Token (PoS) (THETA)A decentralized peer-to-peer network that aims to offer improved video delivery at lower costs.,Token Theta Token (PoS),0xb46e0ae620efd98516f49bb00263317096c114b2,"Theta mainnet launched. For more information, visit",https://polygonscan.com/address/0xb46e0ae620efd98516f49bb00263317096c114b2,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xf4417119be081ed6af1b13c63e351ff9942471155e8840ee41a7216d510ad6bb,0xf4417119be081ed6af1b13c63e351ff9942471155e8840ee41a7216d510ad6bb,https://polygonscan.com/tx/0xf4417119be081ed6af1b13c63e351ff9942471155e8840ee41a7216d510ad6bb,0xf4417119be081ed6af1b13c63e351ff9942471155e8840ee41a7216d510ad6bb,Success,11745904
10,"(PoS) Dai Stablecoin (DAI)Multi-Collateral Dai, brings a lot of new and exciting features, such as support for new CDP collateral types and Dai Savings Rate.",Token (PoS) Dai Stablecoin,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,,https://polygonscan.com/address/0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xdcfae11c70f1575fab9d6bd389a6188ae5524a56 at txn 0x0c104ae938f9ee9e113626e80c5d8c11270851d05c2f829332cd68a9f53bbb44,0x0c104ae938f9ee9e113626e80c5d8c11270851d05c2f829332cd68a9f53bbb44,https://polygonscan.com/tx/0x0c104ae938f9ee9e113626e80c5d8c11270851d05c2f829332cd68a9f53bbb44,0x0c104ae938f9ee9e113626e80c5d8c11270851d05c2f829332cd68a9f53bbb44,Success,4362007
11,Aave (PoS) (AAVE)Aave is an open source and non-custodial liquidity protocol for earning interest on deposits and borrowing assets.,Token Aave (PoS),0xd6df932a45c0f255f85145f286ea0b292b21c90b,,https://polygonscan.com/address/0xd6df932a45c0f255f85145f286ea0b292b21c90b,0x63ec5767f54f6943750a70eb6117ea2d9ca77313 at txn 0xdfb8453b301ff22875daef7200aba5aea1ef3244b8c43437bf31c2ea8cd87ec0,0xdfb8453b301ff22875daef7200aba5aea1ef3244b8c43437bf31c2ea8cd87ec0,https://polygonscan.com/tx/0xdfb8453b301ff22875daef7200aba5aea1ef3244b8c43437bf31c2ea8cd87ec0,0xdfb8453b301ff22875daef7200aba5aea1ef3244b8c43437bf31c2ea8cd87ec0,Success,11666003
